model,fold,drug_index,drug_name,positive_count,AP,AUROC,nDCG@10,P@15,R@15,rare_AP,middle_AP,frequent_AP,nonhot100_AP,top15_hot_fraction,top_ranked_true_positives,top_ranked_nonhot_true_positives
CAFNet-D,3,722,nesiritide,12,0.41690566378066374,0.9590970807875085,0.5103515512676446,0.4,0.5,,,0.41942286240459903,0.014285714285714285,1.0,headache; nausea; vomiting; dizziness; dermatitis,blood creatinine increased
CAFNet-DG,3,722,nesiritide,12,0.3785911518165456,0.9572301425661914,0.5224955967919311,0.26666666666666666,0.3333333333333333,,,0.3803150291147794,0.008333333333333333,1.0,headache; nausea; vomiting; back pain; dizziness,blood creatinine increased
CAFNet,3,728,ponatinib,73,0.5493582098062717,0.9287403507206281,0.6563033086078547,0.6666666666666666,0.136986301369863,0.4500018986861092,0.388785975928833,0.6095062217118326,0.24264830251008077,0.5333333333333333,neutropenia; platelet count decreased; musculoskeletal discomfort; arthralgia; pain in extremity,platelet count decreased; blood bilirubin increased; white blood cell count decreased; bone pain; neutrophil count decreased
CAFNet-D,3,728,ponatinib,73,0.6405989919743122,0.9117546442966995,0.933745776545611,0.9333333333333333,0.1917808219178082,0.24505710716586743,0.47659431665642843,0.7250294592676987,0.15284189421764144,1.0,headache; nausea; dizziness; vomiting; dermatitis,lipase increased; amylase increased; blood creatinine increased; blood bilirubin increased; bone pain
CAFNet-DG,3,728,ponatinib,73,0.6635121215097861,0.9301236000178483,0.9266360779006398,0.9333333333333333,0.1917808219178082,0.5002900703660459,0.4259615384615384,0.7312194387205971,0.21727442005087338,1.0,nausea; headache; diarrhoea; dermatitis; rash,blood bilirubin increased; platelet count decreased; bone pain; white blood cell count decreased; lipase increased
CAFNet,3,731,triptorelin,53,0.4601991263649613,0.9199366390632207,0.513528549750033,0.4666666666666667,0.1320754716981132,0.0035587188612099642,,0.6109076922150762,0.358848392793878,0.13333333333333333,hot flush; menopausal symptoms; breast pain; mood swings; affect lability,hot flush; menopausal symptoms; breast pain; mood swings; affect lability
CAFNet-D,3,731,triptorelin,53,0.7077388903821811,0.9283981312533834,1.0,1.0,0.2830188679245283,0.003246753246753247,,0.7448477595271478,0.4047792637107713,0.9333333333333333,headache; nausea; asthenia; vomiting; diarrhoea,menopausal symptoms; hot flush; breast pain; mood swings; affect lability
CAFNet-DG,3,731,triptorelin,53,0.6168295923069053,0.9283780803240229,0.8630152897016883,0.7333333333333333,0.20754716981132076,0.0031746031746031746,,0.7181979932311602,0.4247218023833486,0.4,menopausal symptoms; hot flush; headache; nausea; breast pain,menopausal symptoms; hot flush; breast pain; mood swings; affect lability
CAFNet,4,11,cytarabine,73,0.4984422986214147,0.8960480716314905,0.6090726157997783,0.6666666666666666,0.136986301369863,0.02634787998619088,0.03996969297291528,0.5933194008003274,0.08335989127983456,0.9333333333333333,body temperature increased; nausea; headache; feeling abnormal; diarrhoea,lethargy; mucosal inflammation; hyponatraemia; sensory loss; muscular weakness
CAFNet-D,4,11,cytarabine,73,0.5839647430360726,0.8937872770811953,0.8521705090845473,0.8666666666666667,0.1780821917808219,0.03806467746764989,0.03894155307930478,0.663747731673894,0.08296615623855405,1.0,headache; nausea; diarrhoea; asthenia; vomiting,lethargy; mucosal inflammation; muscular weakness; contusion; neck pain
CAFNet-DG,4,11,cytarabine,73,0.6020719903449495,0.9031130546011631,0.933745776545611,0.8666666666666667,0.1780821917808219,0.030127985824188356,0.04108459568881051,0.6902289922664372,0.11938963595238397,1.0,headache; nausea; diarrhoea; asthenia; vomiting,lethargy; mucosal inflammation; muscular weakness; hyponatraemia; contusion
CAFNet,4,17,sodium.phosphate,6,0.21949809449809451,0.9883603238866396,0.09109240322345795,0.26666666666666666,0.6666666666666666,,,0.23556377832693626,0.1,0.4,nausea; vomiting; gastrointestinal pain; abdominal pain; flatulence,abdominal distension
CAFNet-D,4,17,sodium.phosphate,6,0.5220238095238096,0.9946018893387314,0.6324677375730863,0.3333333333333333,0.8333333333333334,,,0.5220238095238096,1.0,1.0,nausea; vomiting; gastrointestinal pain; abdominal pain; flatulence,abdominal distension
CAFNet-DG,4,17,sodium.phosphate,6,0.6874999999999999,0.9961201079622132,0.7316362001126298,0.3333333333333333,0.8333333333333334,,,0.6956349206349206,0.3333333333333333,0.8666666666666667,nausea; vomiting; gastrointestinal pain; abdominal pain; flatulence,abdominal distension
CAFNet,4,20,telbivudine,37,0.687008276799201,0.9614222372843064,1.0,0.8666666666666667,0.35135135135135137,,0.18253968253968253,0.7196258601337902,0.23129575964340635,0.8666666666666667,nasopharyngitis; headache; rhinorrhoea; nausea; diarrhoea,rhinorrhoea; laryngeal pain; abdominal pain upper; procedural pain; blood creatine phosphokinase increased
CAFNet-D,4,20,telbivudine,37,0.7038878457829555,0.9691321415459346,1.0,0.9333333333333333,0.3783783783783784,,0.1386986301369863,0.7349711160304655,0.22398774044933006,1.0,nausea; diarrhoea; headache; rash; vomiting,abdominal pain upper; abdominal distension; influenza like illness; laryngeal pain; rhinorrhoea
CAFNet-DG,4,20,telbivudine,37,0.7802148936552337,0.976842045807563,1.0,0.9333333333333333,0.3783783783783784,,0.20666666666666667,0.8099272601514246,0.23703183418612164,1.0,nausea; headache; diarrhoea; vomiting; asthenia,rhinorrhoea; abdominal pain upper; laryngeal pain; procedural pain; abdominal distension
CAFNet,4,23,doxorubicin,92,0.5649283814313317,0.832377325749542,0.933745776545611,0.8,0.13043478260869565,0.027052982532434586,0.1221465030891725,0.651274239346283,0.0913711499553769,0.9333333333333333,discomfort; ill-defined disorder; malaise; feeling abnormal; decreased appetite,mucosal inflammation; febrile neutropenia; sepsis; bone pain; breast pain
CAFNet-D,4,23,doxorubicin,92,0.5457870134884012,0.8759158391979176,0.9266360779006398,0.9333333333333333,0.15217391304347827,0.026650312221231043,0.05060964398477312,0.6865657466713989,0.08782425289047116,1.0,headache; nausea; diarrhoea; rash; dermatitis,candida infection; oral candidiasis; sepsis; laboratory test abnormal; vaginal infection
CAFNet-DG,4,23,doxorubicin,92,0.6393545792759417,0.8899305890292105,0.9363792118010483,0.9333333333333333,0.15217391304347827,0.02832244008714597,0.08101355718399991,0.7297831516592674,0.1120716831194607,1.0,nausea; headache; diarrhoea; vomiting; rash,sepsis; mucosal inflammation; febrile neutropenia; vaginal infection; musculoskeletal pain
CAFNet,4,37,allopurinol,5,0.317555682105796,0.9063700707785642,0.38356636737133554,0.13333333333333333,0.4,,,0.3199074074074074,0.0029154518950437317,0.9333333333333333,nausea; vomiting; dermatitis; rash; rash maculo-papular,rash maculo-papular
CAFNet-D,4,37,allopurinol,5,0.5923809523809523,0.9646107178968655,0.7607566881222602,0.26666666666666666,0.8,,,0.5948633879781421,0.010869565217391304,1.0,nausea; vomiting; dermatitis; rash; rash maculo-papular,rash maculo-papular
CAFNet-DG,4,37,allopurinol,5,0.5528822055137845,0.9611729019211325,0.7426050123677905,0.26666666666666666,0.8,,,0.5550264550264551,0.009900990099009901,1.0,nausea; vomiting; dermatitis; rash; rash maculo-papular,rash maculo-papular
CAFNet,4,55,atorvastatin,18,0.26460105230523967,0.9631716757741348,0.16354138662029638,0.3333333333333333,0.2777777777777778,,,0.2819761046913254,0.024325827078120657,0.7333333333333333,pharyngitis; sinusitis; urinary tract infection; alanine aminotransferase increased; influenza,musculoskeletal pain; laryngeal pain
CAFNet-D,4,55,atorvastatin,18,0.25488071678228824,0.9334585610200364,0.3819603371583236,0.3333333333333333,0.2777777777777778,,,0.26230213544674286,0.010597826086956523,1.0,rash; dermatitis; gastrointestinal pain; abdominal pain; asthenia,musculoskeletal pain; laryngeal pain
CAFNet-DG,4,55,atorvastatin,18,0.3180432107756717,0.9620332422586519,0.41388361500911724,0.3333333333333333,0.2777777777777778,,,0.32242069408032414,0.01994949494949495,1.0,rash; dermatitis; asthenia; gastrointestinal pain; abdominal pain,musculoskeletal pain; laryngeal pain
CAFNet,4,62,beclometasone,8,0.1858049565139117,0.978448275862069,0.08431423425588576,0.2,0.375,0.5,,0.18570796268935058,0.09090909090909091,0.6,sinusitis; headache; pharyngitis; back pain; nasal discomfort,nasal discomfort
CAFNet-D,4,62,beclometasone,8,0.3876292864496714,0.9766734279918864,0.4125317798925535,0.2,0.375,1.0,,0.4283225134809512,0.03571428571428571,1.0,headache; nausea; back pain; pharyngitis; pain,nasal discomfort
CAFNet-DG,4,62,beclometasone,8,0.4172623403728055,0.984026369168357,0.4637282884073715,0.3333333333333333,0.625,1.0,,0.45200038057180913,0.1,0.9333333333333333,headache; nausea; sinusitis; pharyngitis; back pain,nasal discomfort
CAFNet,4,68,bicalutamide,53,0.4665810579534661,0.9153449762396487,0.4458567890377042,0.6666666666666666,0.18867924528301888,,0.010791577959197359,0.4921003360878931,0.2394786123981145,1.0,hyperhidrosis; decreased appetite; nausea; back pain; headache,influenza like illness; blood creatinine increased; disturbance in sexual arousal; hot flush; menopausal symptoms
CAFNet-D,4,68,bicalutamide,53,0.5716159512702291,0.8670021855513004,1.0,0.9333333333333333,0.2641509433962264,,0.006882693732822668,0.6408731032375914,0.04103007550825937,1.0,diarrhoea; headache; nausea; rash; dermatitis,blood creatinine increased; menopausal symptoms; influenza like illness; hot flush; blood urea increased
CAFNet-DG,4,68,bicalutamide,53,0.6260195849742197,0.891464319371203,1.0,0.9333333333333333,0.2641509433962264,,0.006769833004308882,0.6694481461550675,0.2137188558564669,1.0,headache; nausea; diarrhoea; asthenia; fatigue,blood creatinine increased; influenza like illness; menopausal symptoms; hot flush; blood urea increased
CAFNet,4,91,cefepime,15,0.42441570929531675,0.906367041198502,0.4883491838252097,0.5333333333333333,0.5333333333333333,0.007246376811594203,1.0,0.44673643965551824,0.39765122265122266,0.7333333333333333,dermatitis; rash; pruritus; inflammation; diarrhoea,inflammation; phlebitis; sepsis; blood phosphorus decreased
CAFNet-D,4,91,cefepime,15,0.4882140648694283,0.9223697650663942,0.6901935063354876,0.4666666666666667,0.4666666666666667,0.004672897196261682,0.07142857142857142,0.5606923406923408,0.2936603972666979,0.9333333333333333,diarrhoea; nausea; dermatitis; rash; vomiting,phlebitis; sepsis; inflammation; blood phosphorus decreased
CAFNet-DG,4,91,cefepime,15,0.5819975411760842,0.9289070480081716,0.7909506325094736,0.4666666666666667,0.4666666666666667,0.004761904761904762,0.25,0.654641560458367,0.19951156299840508,0.8666666666666667,diarrhoea; dermatitis; rash; pruritus; nausea,phlebitis; inflammation; sepsis; blood phosphorus decreased
CAFNet,4,95,celecoxib,34,0.29672588961718105,0.917218137254902,0.2279382616777584,0.4,0.17647058823529413,0.005128205128205128,0.060714285714285714,0.31772619832482346,0.08004706161191037,1.0,musculoskeletal discomfort; arthralgia; nausea; cough; upper respiratory tract infection,nervous system disorder; cerebrovascular accident; abdominal pain upper; angina pectoris; gastrooesophageal reflux disease
CAFNet-D,4,95,celecoxib,34,0.4331267777800335,0.9202818627450979,0.5527460588826717,0.5333333333333333,0.23529411764705882,0.006211180124223602,0.02262443438914027,0.47210385802169186,0.3089619570892498,1.0,nausea; vomiting; diarrhoea; gastrointestinal pain; abdominal pain,abdominal pain upper; nervous system disorder; infestation; mediastinal disorder; eye disorder
CAFNet-DG,4,95,celecoxib,34,0.41839472307961223,0.9248468137254903,0.5302442049991306,0.6,0.2647058823529412,0.006172839506172839,0.029012345679012345,0.4519414197798486,0.2583311626744015,1.0,nausea; diarrhoea; vomiting; musculoskeletal discomfort; dizziness,nervous system disorder; abdominal pain upper; infestation; eye disorder; mediastinal disorder
CAFNet,4,101,chlortalidone,37,0.194232412816631,0.7450930554378831,0.39449523438077905,0.4666666666666667,0.1891891891891892,0.014925373134328358,0.02444840877006229,0.25474074445215644,0.026324614947750007,0.8666666666666667,headache; nausea; decreased appetite; paraesthesia; constipation,hyponatraemia; hypomagnesaemia; abdominal pain upper; abdominal discomfort; diabetes mellitus
CAFNet-D,4,101,chlortalidone,37,0.39288164859314706,0.8962410686548617,0.8006937664098821,0.6,0.24324324324324326,0.017857142857142856,0.27255690694068857,0.44868935237601737,0.13626466328601275,1.0,diarrhoea; headache; nausea; rash; dizziness,hyponatraemia; gout; abdominal pain upper; glycosuria; eosinophilia
CAFNet-DG,4,101,chlortalidone,37,0.36439033287471473,0.8718687339376994,0.8006937664098821,0.6,0.24324324324324326,0.024390243902439025,0.12859797799583705,0.42475538454502687,0.0896933419756885,1.0,headache; nausea; diarrhoea; rash; dizziness,hyponatraemia; abdominal pain upper; hypomagnesaemia; gout; abdominal discomfort
CAFNet,4,118,clopidogrel,55,0.28536237499068334,0.7235550392099912,0.5063209639325833,0.7333333333333333,0.2,0.01211438439586741,0.060981294667833454,0.3766802158907503,0.06150893950424989,1.0,headache; nausea; diarrhoea; dizziness; rash,haemoptysis; hepatobiliary disease; gastritis; arthritis; cerebral haemorrhage
CAFNet-D,4,118,clopidogrel,55,0.28949408839221497,0.6077064575467132,0.7791714369672127,0.7333333333333333,0.2,0.008786657229833152,0.026560815590670143,0.40175843053413435,0.027246458841431488,1.0,headache; nausea; dizziness; vomiting; dyspepsia,arthritis; gastritis; eczema; dermatitis bullous; rash erythematous
CAFNet-DG,4,118,clopidogrel,55,0.2916792606801895,0.6367121696195178,0.750637296052051,0.6666666666666666,0.18181818181818182,0.008727612338823748,0.027819793612931857,0.4007733274031044,0.029532133439300494,1.0,headache; nausea; dizziness; vomiting; diarrhoea,arthritis; gastritis; dermatitis bullous; eczema; haemoptysis
CAFNet,4,126,danazol,10,0.08616549727931538,0.8488821138211383,0.08514311764162101,0.06666666666666667,0.1,,0.04878787878787879,0.10037627503852517,0.012797045090102498,1.0,nausea; hyperhidrosis; weight increased; rash; dermatitis,seborrhoeic dermatitis; acne; hirsutism
CAFNet-D,4,126,danazol,10,0.12669213697848153,0.9226626016260162,0.1100458831490401,0.2,0.3,,0.047643442622950824,0.14866999762120547,0.021901538957376523,1.0,nausea; rash; dermatitis; oedema; hyperhidrosis,acne; seborrhoeic dermatitis; hirsutism
CAFNet-DG,4,126,danazol,10,0.138231715000751,0.9213414634146342,0.1388624438735545,0.06666666666666667,0.1,,0.07678571428571429,0.1606694924619755,0.026481145130600243,1.0,nausea; rash; dermatitis; hyperhidrosis; oedema,acne; seborrhoeic dermatitis; hirsutism
CAFNet,4,131,dextromethorphan,8,0.30965562215562215,0.9565162271805273,0.3260595412115671,0.26666666666666666,0.5,,,0.312821930484974,0.006172839506172839,1.0,somnolence; nausea; dizziness; asthenia; fatigue,hallucination
CAFNet-D,4,131,dextromethorphan,8,0.43801021258163403,0.9655172413793104,0.4850969297788485,0.3333333333333333,0.625,,,0.4380705935857701,0.011363636363636364,1.0,nausea; vomiting; dizziness; asthenia; fatigue,hallucination
CAFNet-DG,4,131,dextromethorphan,8,0.4917802550014088,0.9709685598377282,0.5726430543240895,0.4,0.75,,,0.49215240341419586,0.011764705882352941,1.0,somnolence; nausea; dizziness; vomiting; asthenia,hallucination
CAFNet,4,140,dihydroergotamine,87,0.4122765189192716,0.8397647923557515,0.6473362615659565,0.5333333333333333,0.09195402298850575,0.014976973890063531,0.044512074275232176,0.4765255340306751,0.07279235031690261,0.9333333333333333,asthenia; feeling abnormal; discomfort; nausea; ill-defined disorder,disturbance in attention; influenza like illness; dysphagia; mental disability; angina pectoris
CAFNet-D,4,140,dihydroergotamine,87,0.4013872200197149,0.8025320305668554,0.8611375561264455,0.8,0.13793103448275862,0.07749236002998328,0.026556334669542443,0.47396549647518954,0.057400178242781,1.0,nausea; diarrhoea; vomiting; dizziness; gastrointestinal pain,dysphagia; influenza like illness; salivary hypersecretion; pleuritic pain; hyperkinesia
CAFNet-DG,4,140,dihydroergotamine,87,0.45846038993307203,0.8268638558339352,0.7877736340270853,0.7333333333333333,0.12643678160919541,0.058676293930805104,0.02809339128299189,0.5295809214560723,0.06715833601298699,1.0,nausea; diarrhoea; vomiting; dizziness; asthenia,influenza like illness; dysphagia; salivary hypersecretion; angina pectoris; hyperkinesia
CAFNet,4,141,diltiazem,55,0.5296691996184786,0.8980540226546615,0.8115558478722845,0.7333333333333333,0.2,,0.25750060125060126,0.5720406906701683,0.06478172932327048,1.0,insomnia; dyspnoea; cough; headache; nausea,sinus congestion; atrioventricular block; atrioventricular block first degree; abdominal distension; extrasystoles
CAFNet-D,4,141,diltiazem,55,0.21872361040410207,0.7406138057895246,0.684383072597662,0.4,0.10909090909090909,,0.02476146083018526,0.2947844566074168,0.033824581553720104,0.7333333333333333,nausea; diarrhoea; vomiting; dermatitis; rash,abdominal distension; atrioventricular block; extrasystoles; sinus bradycardia; vasodilation procedure
CAFNet-DG,4,141,diltiazem,55,0.3984317522834094,0.8488721076580501,0.7564477297898765,0.6,0.16363636363636364,,0.03643274385224009,0.4517099407744896,0.04134608308785296,0.9333333333333333,nausea; diarrhoea; vomiting; dyspepsia; dermatitis,abdominal distension; atrioventricular block; extrasystoles; sinus bradycardia; vasodilation procedure
CAFNet,4,155,etoposide,31,0.6307442048644601,0.9766187652832211,0.8572048559638626,0.6,0.2903225806451613,0.6428571428571428,0.1111111111111111,0.6609235437056165,0.3124791407543239,1.0,neutropenia; leukopenia; anaemia; diarrhoea; nausea,mucosal inflammation; neurotoxicity; hepatotoxicity; extravasation; phlebitis
CAFNet-D,4,155,etoposide,31,0.5226866559795558,0.9741399524335912,0.6366587127404281,0.6,0.2903225806451613,0.8333333333333333,0.2,0.5323151246046255,0.22682641432641434,1.0,diarrhoea; nausea; vomiting; gastrointestinal pain; abdominal pain,neurotoxicity; mucosal inflammation; extravasation; phlebitis; hepatotoxicity
CAFNet-DG,4,155,etoposide,31,0.6011698401526406,0.9799015174354336,0.6754160255557639,0.7333333333333333,0.3548387096774194,0.8333333333333333,0.16666666666666666,0.6202870116172473,0.3186345686345686,1.0,diarrhoea; nausea; vomiting; anaemia; neutropenia,mucosal inflammation; neurotoxicity; extravasation; hepatotoxicity; phlebitis
CAFNet,4,160,fentanyl,92,0.5413420907008388,0.8665766894823099,0.914856882358379,0.8666666666666667,0.14130434782608695,0.08333333333333333,0.04995320221670305,0.6461809372914751,0.11931047431024042,1.0,tremor; agitation; headache; paraesthesia; nausea,hallucination; urinary retention; hypertonia; euphoric mood; apnoea
CAFNet-D,4,160,fentanyl,92,0.6144179821892195,0.8642388894244674,1.0,1.0,0.16304347826086957,0.004739336492890996,0.03035192882463201,0.6867486144656713,0.08830970747751764,1.0,headache; nausea; vomiting; diarrhoea; dizziness,amnesia; abnormal dreams; injury; mental disability; hallucination
CAFNet-DG,4,160,fentanyl,92,0.6428141336130534,0.880977055817989,1.0,1.0,0.16304347826086957,0.00684931506849315,0.036544102196345164,0.7132596221043062,0.13857300189761068,1.0,headache; nausea; vomiting; dizziness; tremor,hallucination; urinary retention; hypertonia; amnesia; injury
CAFNet,4,181,fusidic.acid,10,0.2698708906274696,0.9775406504065041,0.26144322424505007,0.26666666666666666,0.4,,,0.2709820017385807,1.0,1.0,headache; nausea; diarrhoea; vomiting; abdominal pain,lethargy
CAFNet-D,4,181,fusidic.acid,10,0.5081370858510887,0.9679878048780488,0.5861163849908828,0.4,0.6,,,0.5711832986832986,0.006944444444444444,0.6666666666666666,headache; nausea; vomiting; diarrhoea; gastrointestinal pain,lethargy
CAFNet-DG,4,181,fusidic.acid,10,0.5938204659325348,0.9807926829268292,0.6936634693435662,0.4,0.6,,,0.6028110438752853,0.027777777777777776,1.0,headache; nausea; diarrhoea; vomiting; gastrointestinal pain,lethargy
CAFNet,4,212,iotrolan,11,0.38239306102345266,0.9343382964949597,0.5645441593704201,0.3333333333333333,0.45454545454545453,,0.008928571428571428,0.4189421901074443,0.08578643578643579,1.0,headache; nausea; pain; vomiting; dizziness,neck pain; musculoskeletal stiffness; nuchal rigidity
CAFNet-D,4,212,iotrolan,11,0.42263306727570615,0.9353555904929253,0.5473983622993502,0.3333333333333333,0.45454545454545453,,0.023255813953488372,0.4624730737119206,0.038488962018373776,1.0,headache; nausea; dizziness; vomiting; pain,musculoskeletal stiffness; neck pain; nuchal rigidity
CAFNet-DG,4,212,iotrolan,11,0.4487825906007724,0.9459909368352909,0.5541432109622958,0.3333333333333333,0.45454545454545453,,0.025,0.4898818290107748,0.08106060606060606,1.0,headache; nausea; dizziness; vomiting; pain,neck pain; musculoskeletal stiffness; nuchal rigidity
CAFNet,4,228,lisinopril,100,0.5014673704017195,0.8354809843400448,0.6188656458779801,0.8,0.12,0.01664307773119059,0.056517822409598906,0.5693238660382772,0.1430824445298117,1.0,headache; nausea; feeling abnormal; fatigue; dizziness,diabetes mellitus; renal failure; sleep disorder; angina pectoris; libido decreased
CAFNet-D,4,228,lisinopril,100,0.4932806636459315,0.8201230425055929,1.0,0.9333333333333333,0.14,0.01637665019622011,0.031099552499764045,0.6076474401809193,0.07630364852038407,1.0,headache; nausea; diarrhoea; vomiting; dizziness,nasal congestion; musculoskeletal pain; hypoglycaemia; blood creatinine increased; sleep disorder
CAFNet-DG,4,228,lisinopril,100,0.5578183349029403,0.8432438478747204,1.0,0.9333333333333333,0.14,0.0163463047593217,0.032834492270410943,0.6445217467276446,0.11075629178146985,1.0,headache; nausea; diarrhoea; dizziness; vomiting,sleep disorder; nasal congestion; diabetes mellitus; musculoskeletal pain; blood creatinine increased
CAFNet,4,271,naltrexone,14,0.6167201741118052,0.9319970845481049,0.6911279212606076,0.5333333333333333,0.5714285714285714,,,0.61929895404506,0.032636962552011095,1.0,headache; nausea; dizziness; vomiting; fatigue,injection site reaction; suicide attempt
CAFNet-D,4,271,naltrexone,14,0.493363200717119,0.932798833819242,0.6203974344166848,0.4666666666666667,0.5,,,0.49513986574908175,0.1682514527205494,1.0,headache; nausea; vomiting; dizziness; asthenia,injection site reaction; suicide attempt
CAFNet-DG,4,271,naltrexone,14,0.5331308338423423,0.9338921282798833,0.6203974344166848,0.4666666666666667,0.5,,,0.5349567295570266,0.12650602409638553,1.0,headache; nausea; vomiting; dizziness; asthenia,injection site reaction; suicide attempt
CAFNet,4,280,nimodipine,9,0.09868721582235568,0.8265087422447829,0.1175227747072427,0.06666666666666667,0.1111111111111111,0.015873015873015872,0.006369426751592357,0.12375779154571515,0.004249672757266582,1.0,headache; nausea; dyspnoea; flushing; rash,subarachnoid haemorrhage; fluid retention
CAFNet-D,4,280,nimodipine,9,0.34913433155763846,0.8794134235758602,0.45128618090292516,0.26666666666666666,0.4444444444444444,0.005050505050505051,0.058823529411764705,0.4407862407862408,0.008611285924061254,1.0,headache; nausea; rash; dermatitis; gastrointestinal disorder,fluid retention; subarachnoid haemorrhage
CAFNet-DG,4,280,nimodipine,9,0.3009125632886279,0.8796390298928372,0.38334277998463445,0.13333333333333333,0.2222222222222222,0.005813953488372093,0.05555555555555555,0.37897138897138893,0.007099641931102606,1.0,headache; nausea; rash; dermatitis; dyspnoea,fluid retention; subarachnoid haemorrhage
CAFNet,4,289,omeprazole,87,0.443527169784999,0.7675930502224081,1.0,0.7333333333333333,0.12643678160919541,0.003745318352059925,0.06048589747584403,0.6120799390100853,0.13737519142617582,0.7333333333333333,rash; nausea; dermatitis; diarrhoea; abdominal pain,gastritis; pancytopenia; photosensitivity reaction; visual acuity reduced; hepatic enzyme increased
CAFNet-D,4,289,omeprazole,87,0.5582578610952208,0.8990102523159589,1.0,0.9333333333333333,0.16091954022988506,0.004761904761904762,0.1877856512975561,0.647828399163522,0.2425957551950126,0.9333333333333333,nausea; rash; diarrhoea; dermatitis; vomiting,glossitis; photosensitivity reaction; eructation; pancreatitis; anaphylactic shock
CAFNet-DG,4,289,omeprazole,87,0.6112888376757475,0.9023812239415023,1.0,0.9333333333333333,0.16091954022988506,0.004405286343612335,0.20344601110434982,0.6827429931336844,0.33249457357378076,0.9333333333333333,rash; nausea; dermatitis; diarrhoea; vomiting,gastritis; photosensitivity reaction; pancytopenia; hepatic enzyme increased; anaphylactic shock
CAFNet,4,297,pamidronic.acid,106,0.3596759400165923,0.7773244943056264,0.4042383682811875,0.5333333333333333,0.07547169811320754,0.027620610752597183,0.043024426222854836,0.4759770177711957,0.07579544390422657,0.6666666666666666,pruritus; nausea; dermatitis; hypokalaemia; rash,atrial fibrillation; liver function test abnormal; candida infection; hypophosphataemia; gastrointestinal haemorrhage
CAFNet-D,4,297,pamidronic.acid,106,0.5756087344968721,0.8062531871494135,1.0,1.0,0.14150943396226415,0.02778286616909955,0.05141847383005467,0.6847222999166562,0.1031933253685454,1.0,nausea; headache; vomiting; diarrhoea; dizziness,influenza like illness; gastrointestinal haemorrhage; swelling; atrial fibrillation; induration
CAFNet-DG,4,297,pamidronic.acid,106,0.5468037411154858,0.809844042155363,1.0,0.8666666666666667,0.12264150943396226,0.02924186346235197,0.04310262225834119,0.6485693100873648,0.10475002831782768,0.8666666666666667,nausea; vomiting; headache; pruritus; diarrhoea,atrial fibrillation; gastrointestinal haemorrhage; influenza like illness; candida infection; gastritis
CAFNet,4,314,pramipexole,103,0.6464670530939199,0.9103766903119653,0.9363792118010483,0.9333333333333333,0.13592233009708737,0.00844648210192206,0.029885753459957073,0.7000474215542344,0.17237450235635626,1.0,vertigo; somnolence; headache; dry mouth; nausea,sleep disorder; gait disturbance; injury; abdominal discomfort; abdominal pain upper
CAFNet-D,4,314,pramipexole,103,0.7119687856896326,0.9429134930753054,0.7909506325094736,0.8,0.11650485436893204,0.0252548656163114,0.16382783882783883,0.7491626960405942,0.37384365345624054,1.0,nausea; headache; vomiting; asthenia; dizziness,abdominal pain upper; injury; abdominal discomfort; hallucination; muscular weakness
CAFNet-DG,4,314,pramipexole,103,0.6905366094495734,0.9360160395759101,0.791726719367984,0.8,0.11650485436893204,0.01550751879699248,0.06851424744510053,0.7304859539453079,0.2525987734098257,1.0,headache; nausea; vomiting; asthenia; dizziness,abdominal pain upper; injury; abdominal discomfort; sleep disorder; gait disturbance
CAFNet,4,339,stavudine,45,0.27111884702038824,0.7855052101627444,0.5806020001118019,0.5333333333333333,0.17777777777777778,0.1918280132565847,0.016265049830754726,0.3349820946316092,0.033125694455143156,1.0,nausea; headache; diarrhoea; vomiting; asthenia,hyperlactacidaemia; jaundice; gynaecomastia; lactic acidosis; lipodystrophy acquired
CAFNet-D,4,339,stavudine,45,0.4466646226198991,0.8015923194005387,0.9305687780632227,0.8,0.26666666666666666,0.025552503590104858,0.018635148948120666,0.5563422672778581,0.028488146778680466,1.0,nausea; diarrhoea; headache; rash; dermatitis,skin disorder; jaundice; pancreatitis; neuritis; nervous system disorder
CAFNet-DG,4,339,stavudine,45,0.4195276017590914,0.8089216719353705,0.933745776545611,0.7333333333333333,0.24444444444444444,0.05784950748747336,0.01794146360681468,0.5194530810309582,0.03087076407721085,1.0,nausea; diarrhoea; headache; vomiting; asthenia,jaundice; hyperlactacidaemia; skin disorder; pancreatitis; hepatitis
CAFNet,4,343,risedronic.acid,68,0.3305131823811275,0.8417291322576548,0.45718160765461063,0.5333333333333333,0.11764705882352941,0.018137308236318136,0.15230425200933367,0.42431514791685765,0.09482911954197913,0.7333333333333333,musculoskeletal discomfort; arthralgia; nausea; myalgia; pain in extremity,neoplasm; musculoskeletal pain; bone pain; hypercalcaemia; dry eye
CAFNet-D,4,343,risedronic.acid,68,0.5611922554248979,0.8977575911574134,0.8115558478722845,0.8,0.17647058823529413,0.014353646317978655,0.366235294117647,0.6129312688502951,0.2619578440586177,1.0,nausea; headache; diarrhoea; vomiting; gastrointestinal pain,bone pain; musculoskeletal pain; abdominal pain upper; fracture; multiple fractures
CAFNet-DG,4,343,risedronic.acid,68,0.5020901472999697,0.8927232880193114,0.8454256604216017,0.8666666666666667,0.19117647058823528,0.014877875747440965,0.16522390178127885,0.5601806050637387,0.15503067966253842,1.0,nausea; headache; vomiting; musculoskeletal discomfort; diarrhoea,musculoskeletal pain; bone pain; hypercalcaemia; neoplasm; arthropathy
